entidad_ejecutora,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
MUNICIPALIDAD DE SAN MATEO IXTATAN,48,34411320.51,2707032.0,31704288.509999998,267.00709503370075,5.562647813202099,42,0,6,0,0.07866690263203736,0,0.0,495.65028653970046
MUNICIPALIDAD DE SAN MIGUEL ACATAN,45,34064771.11,13315569.29,20749201.82,125.01078446951996,2.778017432655999,22,5,8,10,0.39088973317924636,10,2444253.25,217.62398283138378
MUNICIPALIDAD DE SAN MIGUEL CHICAJ,46,61916401.019999996,24653102.87,37263298.15,278.46971320045253,6.053689417401142,12,22,9,3,0.398167568913391,3,2704000.0,166.28386536489097
MUNICIPALIDAD DE SAN MIGUEL DUEÑAS,36,50977207.99,19399880.81,31577327.18,235.85645299602635,6.55156813877851,16,17,2,1,0.38055989284084757,1,0.0,134.11624642543887
MUNICIPALIDAD DE SAN MIGUEL IXTAHUACAN,76,38738448.2,15609806.4,23128641.8,355.6657975940355,4.679813126237309,33,20,23,0,0.4029538385071398,0,0.0,408.9263808713792
MUNICIPALIDAD DE SAN MIGUEL PANAN,34,11917585.08,8828450.64,3089134.44,34.22951060460112,1.006750311900033,23,7,4,0,0.7407919121815911,0,0.0,76.02144547810795
MUNICIPALIDAD DE SAN MIGUEL SIGUILA,71,20933914.58,11284359.38,9649555.2,76.39464770952563,1.0759809536552905,51,6,14,0,0.5390467863464455,0,0.0,332.5659955703661
MUNICIPALIDAD DE SAN PABLO,78,58709246.17,25650019.91,33059226.26,417.62756364031395,5.354199533850179,28,27,9,14,0.4368991527455001,14,6339609.72,251.82021652079158
MUNICIPALIDAD DE SAN PABLO JOCOPILAS,70,48652517.47,10814815.459999999,37837702.01,528.5543124917426,7.55077589273918,33,25,12,0,0.22228686247671778,0,0.0,418.4769476586333
MUNICIPALIDAD DE SAN PABLO LA LAGUNA,62,31067405.34,18310375.19,12757030.15,94.30808915470828,1.5210982121727143,27,7,3,25,0.5893757457248923,25,10097330.15,138.84549931330844
MUNICIPALIDAD DE SAN PEDRO AYAMPUC,52,90778599.57,31159382.5,59619217.07,487.37365815478233,9.372570349130429,14,24,14,0,0.3432459042945776,0,0.0,247.90696718505893
MUNICIPALIDAD DE SAN PEDRO CARCHA,62,110762579.2,21615616.36,89146962.84,335.26318359974186,5.407470703221643,47,10,5,0,0.19515269973056026,0,0.0,494.94910914417545
MUNICIPALIDAD DE SAN PEDRO JOCOPILAS,72,67944761.06,22019372.06,45925389.0,497.69422081058417,6.912419733480336,27,12,28,5,0.3240775553034228,5,3.0,482.7130840354329
MUNICIPALIDAD DE SAN PEDRO LA LAGUNA,54,44616476.56,15522621.38,29093855.18,264.39755047359114,4.896250934696132,23,19,11,1,0.34791230901268644,1,1559981.45,271.06064977767636
MUNICIPALIDAD DE SAN PEDRO NECTA,45,42576265.6,7186716.87,35389548.730000004,273.4518802703485,6.076708450452189,39,3,3,0,0.16879631805942136,0,0.0,391.322748737322
MUNICIPALIDAD DE SAN PEDRO PINULA,114,115862402.05,32099188.47,83763213.58,906.0738454387802,7.948016188059475,53,14,41,6,0.27704577069054476,6,1867840.8,880.5981218664527
MUNICIPALIDAD DE SAN PEDRO SACATEPEQUEZ,111,137180982.53,31549916.18,105631066.35,957.1729594135406,8.623179814536401,58,18,35,0,0.22998753615939713,0,0.0,920.479508973563
MUNICIPALIDAD DE SAN PEDRO SACATEPEQUEZ - SAN MARCOS,112,0.0,0.0,0.0,0.0,0.0,112,0,0,0,,0,0.0,0.0
MUNICIPALIDAD DE SAN PEDRO SACATEPEQUEZ GUATEMALA,226,6804792.52,4967925.61,1836866.91,370.0714902689927,1.637484470216782,124,93,9,0,0.7300627602382799,0,0.0,350.79887983904774
MUNICIPALIDAD DE SAN RAFAEL LA INDEPENDENCIA,48,21183701.55,10443647.55,10740054.0,134.06518205687823,2.793024626184963,39,0,9,0,0.49300390327676236,0,0.0,270.2554198364312
MUNICIPALIDAD DE SAN RAFAEL LAS FLORES,67,47886307.29,19812357.94,28073949.349999998,348.301209298472,5.1985255119174925,35,18,10,4,0.41373743479563263,4,1158728.4000000001,311.0299991725063
MUNICIPALIDAD DE SAN RAFAEL PETZAL,33,37734475.4,12193955.2,25540520.2,86.73430128218226,2.628312160066129,23,4,6,0,0.32315157613135914,0,0.0,231.44375703475674
MUNICIPALIDAD DE SAN RAFAEL PIE DE LA CUESTA,76,41492800.05,16212848.84,25279951.21,280.4940429351963,3.690711091252583,37,22,17,0,0.3907388467508353,0,0.0,393.2841197883587
MUNICIPALIDAD DE SAN RAYMUNDO,57,114697567.66,34496634.84,80200932.82,502.5051837391706,8.815880416476677,18,22,17,0,0.3007616948099456,0,0.0,329.59881202410014
MUNICIPALIDAD DE SAN SEBASTIAN,67,29889901.87,11822213.44,18067688.43,308.41244096596574,4.603170760686056,61,6,0,0,0.39552533465711237,0,0.0,391.2220338327611
MUNICIPALIDAD DE SAN SEBASTIAN COATAN,38,13509427.4,5435890.2,8073537.2,78.01445265950244,2.0530119120921695,28,3,6,1,0.4023775426632812,1,0.0,221.75803442882972
MUNICIPALIDAD DE SAN SEBASTIAN HUEHUETENANGO,59,56416893.1,20237391.8,36179501.3,229.37590451869644,3.8877271952321433,25,6,23,5,0.35871156116535596,5,1129423.0,393.73879185285676
MUNICIPALIDAD DE SAN VICENTE PACAYA,37,68764052.66,33362721.67,35401330.99,171.74733754703658,4.641819933703691,7,27,3,0,0.4851767803006043,0,0.0,70.60854867153343
MUNICIPALIDAD DE SANARATE,69,45065664.2,15387091.97,29678572.23,320.6984639551132,4.647803825436423,43,19,7,0,0.3414371505035978,0,0.0,376.04310875177015
MUNICIPALIDAD DE SANSARE,35,53504234.1,24851332.75,28652901.35,173.2071845251722,4.948776700719206,11,14,10,0,0.4644741330854785,0,0.0,148.6653187830782
MUNICIPALIDAD DE SANTA ANA,74,88258790.6,28648907.4,59609883.2,407.02808596652403,5.500379540088162,38,11,19,6,0.3246011780270191,6,6075806.6,481.9210840510418
MUNICIPALIDAD DE SANTA ANA HUISTA,43,43301045.2,17107689.84,26193355.36,161.2822795182799,3.7507506864716254,22,15,6,0,0.39508722620857195,0,0.0,202.0953447289482
MUNICIPALIDAD DE SANTA APOLONIA,66,24902634.62,4864042.41,20038592.21,358.69486321449966,5.434770654765146,46,5,15,0,0.19532240199571302,0,0.0,556.384394359117
MUNICIPALIDAD DE SANTA BARBARA,65,31112614.33,23316154.78,7796459.55,135.47656626821595,2.0842548656648607,29,8,24,4,0.7494116223308709,4,2071937.5,162.56105583265807
