departamento,municipio,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
Escuintla,Multimunicipal - Escuintla,3,83564135.0,59248997.89,24315137.11,12.398391255752056,4.132797085250686,1,1,1,0,0.7090242469451757,0,0.0,12.738540193832891
Escuintla,Nueva Concepción,38,39366774.47,11914714.16,27452060.310000002,188.4643063027607,4.959587007967387,29,3,6,0,0.3026591413802463,0,0.0,282.9332501699009
Escuintla,Palín,64,91796202.02,28191835.21,63604366.81,203.90863147461533,3.1860723667908646,43,6,15,0,0.3071133074095782,0,0.0,492.9203982015475
Escuintla,San José,65,311836259.25,61904507.83,249931751.42,518.5776870068062,7.978118261643172,27,16,22,0,0.19851606730688423,0,0.0,545.5043995402518
Escuintla,San Vicente Pacaya,37,68764052.66,33362721.67,35401330.99,171.74733754703658,4.641819933703691,7,27,3,0,0.4851767803006043,0,0.0,70.60854867153343
Escuintla,Santa Lucía Cotzumalguapa,53,108975592.96000001,52434695.64,56547758.53,315.94468793061066,5.961220526992654,20,24,9,0,0.48115999386437286,0,0.0,193.96004369020787
Escuintla,Sipacate,42,75000982.53,47304815.64,27696166.89,192.1337457048456,4.574612992972514,5,22,15,0,0.6307226124814874,0,0.0,107.13777951778926
Escuintla,Siquinalá,45,24026113.54,5486247.1,18539866.44,170.2801096206955,3.7840024360154554,37,5,3,0,0.22834517496415693,0,0.0,335.7185315951667
Escuintla,Tiquisate,36,102452732.93,35292086.68,67160646.25,248.83059397297396,6.911960943693721,8,22,5,1,0.34447189128779054,1,1398000.0,118.49335188824342
Guatemala,Amatitlán,91,168100814.37,90659271.69,77441542.68,319.965016085647,3.5160990778642525,23,37,17,14,0.5393148869014607,14,15396561.649999999,247.8016536438928
Guatemala,Chinautla,69,92959296.77,32474849.94,60484446.83,384.4892969608767,5.5723086516069085,27,31,11,0,0.3493448322909468,0,0.0,310.38820268117405
Guatemala,Chuarrancho,78,157208850.61,86615326.05,70593524.56,440.8666047737283,5.652135958637542,14,39,25,0,0.5509570594398228,0,0.0,249.15988205024672
Guatemala,Fraijanes,67,131184867.96,84530999.32,46778504.769999996,226.29113656659987,3.3774796502477593,32,12,22,1,0.6443654716775308,1,1714057.0,251.2778664221757
Guatemala,Guatemala,194,862356208.92,113211039.49,755924624.85,1012.0869219885831,5.216942896848367,122,31,18,23,0.13128106265018205,23,1826026.9000000001,1583.6406190562386
Guatemala,Mixco,41,479432616.39,158525657.8,320906958.59000003,334.9958332642504,8.170630079615863,21,12,7,1,0.33065263476159806,1,560000.0,256.8766346013589
Guatemala,Multimunicipal Guatemala,1,3701585.0,0.0,3701585.0,15.124271934419514,15.124271934419514,1,0,0,0,0.0,0,0.0,24.198835095071225
Guatemala,Palencia,49,174567362.95,94160847.98,81070451.34,311.28098618734214,6.352673187496778,12,21,16,0,0.5393954883019558,0,0.0,183.5666720334455
Guatemala,San José Pinula,42,82824945.7,24026138.66,58798807.04,194.47985871750723,4.630472826607315,31,4,7,0,0.29008336144312136,0,0.0,326.17293500325565
Guatemala,San José del Golfo,63,98897140.92,39148851.410000004,59748289.51,301.30240532822063,4.782577862352708,25,12,26,0,0.3958542284014898,0,0.0,409.29241511082984
Guatemala,San Juan Sacatepéquez,78,231040213.5,130363420.61,100676792.89,401.97861552209815,5.1535719938730535,14,34,30,0,0.5642455858014518,0,0.0,280.28622369525357
Guatemala,San Miguel Petapa,46,81940800.48,27146772.52,54794027.96,216.59196838911777,4.708521051937343,29,1,16,0,0.3312973800716768,0,0.0,380.16482021687443
Guatemala,San Pedro Ayampuc,53,111584640.57,31159382.5,80425258.07,504.2244121380417,9.513668153547957,15,24,14,0,0.2792443685872062,0,0.0,283.14325121275
Guatemala,San Pedro Sacatepéquez,291,75004827.69,21185358.13,53819469.56,840.9357014070871,2.8898134068972063,159,103,29,0,0.28245326044292124,0,0.0,1556.153904425697
Guatemala,San Raymundo,56,114697567.66,34496634.84,80200932.82,502.5051837391706,8.973306852485189,17,22,17,0,0.3007616948099456,0,0.0,321.81301331486947
Guatemala,Santa Catarina Pinula,34,200898077.08,118858651.23,82039425.85,79.63101299379576,2.342088617464581,13,12,9,0,0.591636579889558,0,0.0,124.91548398530456
Guatemala,Villa Canales,83,274885261.14,114498414.98,160386846.16,563.2693950795625,6.786378253970633,27,29,27,0,0.4165316630842771,0,0.0,439.9096497013712
Guatemala,Villa Nueva,77,407215531.77,170016850.47,237198681.29999998,441.14984597456527,5.729218778890458,47,17,13,0,0.4175107214869876,0,0.0,457.2914709657904
Huehuetenango,Aguacatán,85,81640738.67,12719189.49,68921549.18,573.4678044054535,6.746680051828865,52,4,10,19,0.15579463999477308,19,0.0,618.2598112337988
Huehuetenango,Barillas,49,37921705.0,8025631.07,29896073.93,284.3137630696518,5.802321695299017,38,9,2,0,0.2116368731311,0,0.0,349.44689845719864
Huehuetenango,Chiantla,86,76218499.35,11986666.370000001,64231832.980000004,321.5372319810885,3.738805023035913,68,4,11,3,0.15726715262336113,3,188370.0,773.919671813207
Huehuetenango,Colotenango,76,53565295.36,13555502.97,40009792.39,269.2517125488291,3.542785691431962,55,0,8,13,0.2530650279980086,13,6764124.0,537.027603762261
Huehuetenango,Concepción Huista,39,36377225.53,18395159.94,17988639.63,129.6321873893996,3.323902240753836,10,13,7,9,0.5056779254599739,9,5228017.76,108.43405230152963
Huehuetenango,Cuilco,48,52523697.599999994,21188457.85,31335239.75,267.6006268272736,5.575013058901533,20,13,13,2,0.4034075820663472,2,2208650.0,248.16844720483132
Huehuetenango,Huehuetenango,191,148969188.76,74489105.69,76280083.07,537.8338587273822,2.815884077106713,118,10,43,20,0.5000302835105538,20,24613931.45,999.2416535569705
Huehuetenango,Jacaltenango,26,51625477.8,26477793.77,25147684.03,91.16548929314413,3.506364972813236,19,2,4,1,0.5128822995610125,1,2987185.0,134.95527878653039
Huehuetenango,La Democracia,95,50287453.72,24699043.96,25588409.76,219.6989007241057,2.3126200076221655,31,22,6,36,0.4911571800299139,36,8873380.0,220.172062339564
Huehuetenango,La Libertad,63,22116801.05,6364205.8,15752595.25,142.77510203458363,2.266271460866407,57,1,5,0,0.2877543540592639,0,0.0,472.1792962568009
Huehuetenango,Malacatancito,65,56269668.45,10062080.67,46207587.78,318.32136202248824,4.8972517234228965,46,5,14,0,0.17881890807551043,0,0.0,583.2500420749926
Huehuetenango,Multimunicipal - Huehuetenango,12,66098014.0,34609353.69,32138218.54,51.264915197508415,4.272076266459035,9,3,0,0,0.5236065593438254,0,0.0,54.900797455258164
Huehuetenango,Nentón,74,33026642.16,12182322.6,20844319.56,213.99955404145243,2.891885865425033,56,10,7,1,0.36886349332704915,1,37485.0,439.25559093833414
Huehuetenango,Petatán,33,46012478.06,16214865.88,29797612.18,210.5816794603701,6.381263013950609,14,12,7,0,0.35240149115324565,0,0.0,171.39753232202136
Huehuetenango,San Antonio Huista,46,18896500.3,6083693.3,12812807.0,81.55525425792322,1.7729403099548526,42,2,2,0,0.3219481493088961,0,0.0,315.81943004420685
