snip,costo_total_n_distinct,costo_total_stable_flag,costo_total_first,costo_total_last,monto_programado_anual_n_distinct,monto_programado_anual_stable_flag,monto_programado_anual_first,monto_programado_anual_last,montro_asignado_anual_n_distinct,montro_asignado_anual_stable_flag,montro_asignado_anual_first,montro_asignado_anual_last,monto_vigente_anual_n_distinct,monto_vigente_anual_stable_flag,monto_vigente_anual_first,monto_vigente_anual_last
331375,1,0,1529050.0,1529050.0,1,0,1527550.0,1527550.0,1,0,1527550.0,1527550.0,1,0,1527550.0,1527550.0
331376,1,0,1501500.0,1501500.0,1,0,1500000.0,1500000.0,1,0,1500000.0,1500000.0,1,0,1500000.0,1500000.0
331377,1,0,901500.0,901500.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0
331378,1,0,601500.0,601500.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0
331379,1,0,851500.0,851500.0,1,0,850000.0,850000.0,1,0,850000.0,850000.0,1,0,850000.0,850000.0
331380,1,0,901500.0,901500.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0
331381,1,0,900000.0,900000.0,1,0,895000.0,895000.0,1,0,895000.0,895000.0,1,0,895000.0,895000.0
331388,1,0,6709472.0,6709472.0,1,0,2707972.0,2707972.0,1,0,2707972.0,2707972.0,1,0,2707972.0,2707972.0
331389,1,0,5001500.0,5001500.0,1,0,5000000.0,5000000.0,1,0,5000000.0,5000000.0,1,0,5000000.0,5000000.0
331390,1,0,1600000.0,1600000.0,1,0,704000.0,704000.0,1,0,0.0,0.0,2,1,0.0,432000.0
331391,1,0,7047630.0,7047630.0,1,0,3423815.0,3423815.0,1,0,3423815.0,3423815.0,1,0,3423815.0,3423815.0
331392,1,0,900000.0,900000.0,1,0,720000.0,720000.0,1,0,0.0,0.0,2,1,0.0,270000.0
331398,1,0,1492305.0,1492305.0,1,0,1068167.0,1068167.0,1,0,1068167.0,1068167.0,1,0,1068167.0,1068167.0
331400,1,0,3096814.0,3096814.0,1,0,3096814.0,3096814.0,1,0,3096814.0,3096814.0,1,0,3096814.0,3096814.0
331402,1,0,3500000.0,3500000.0,1,0,2000000.0,2000000.0,1,0,2000000.0,2000000.0,1,0,2000000.0,2000000.0
331408,1,0,1418695.0,1418695.0,1,0,1407695.0,1407695.0,1,0,1407695.0,1407695.0,1,0,1407695.0,1407695.0
331409,1,0,1566326.0,1566326.0,1,0,1555326.0,1555326.0,1,0,1555326.0,1555326.0,1,0,1555326.0,1555326.0
331410,1,0,849957.0,849957.0,1,0,838957.0,838957.0,1,0,838957.0,838957.0,1,0,838957.0,838957.0
331411,1,0,971000.0,971000.0,1,0,960000.0,960000.0,1,0,960000.0,960000.0,1,0,960000.0,960000.0
331412,1,0,711000.0,711000.0,1,0,700000.0,700000.0,1,0,700000.0,700000.0,1,0,700000.0,700000.0
331413,1,0,900000.0,900000.0,1,0,889000.0,889000.0,1,0,889000.0,889000.0,1,0,889000.0,889000.0
331414,1,0,806674.0,806674.0,1,0,795674.0,795674.0,1,0,795674.0,795674.0,1,0,795674.0,795674.0
331419,1,0,4414206.0,4414206.0,1,0,3073458.0,3073458.0,1,0,3073458.0,3073458.0,1,0,3073458.0,3073458.0
